Full Name,Employment Sector,Job Title,Current Monthly Salary (USD),Total Previous Loans,Active Loans,Total Outstanding Balance (USD),Avg Loan Amount (USD),Common Loan Reason,Historical Return Rate (%),Days Past Due (Max),MFI Diversity Score,Risk Label
Nyasha Zuma,Retail,Buyer,631,8,1,306,567,Medical,97,0,1,Low
Munyaradzi X. Mhlanga,Education,Lecturer,1238,9,2,882,695,Input Financing,53,98,3,High
Tapiwa Chikore,Health,Medical Officer,2152,8,4,1660,569,Emergency,99,4,3,Low
Takudzwa Sithole,Manufacturing,Welder,518,7,2,1751,1114,School Fees,100,0,2,Low
Tapiwa Madzima,Mining,Shift Boss,1549,6,2,2296,1181,Emergency,97,0,1,Low
Blessing Dube,Public Sector,ZIMRA Officer,380,4,2,1562,783,Home Improvement,96,0,3,Low
Kuda Mpofu,Retail,Buyer,563,0,1,621,608,School Fees,99,0,1,Low
Tendai Ndlovu,Agriculture,Agro-dealer,911,3,0,0,278,Small Business,98,0,2,Low
Vimbai Gumbo,Manufacturing,Welder,601,2,2,1677,726,Input Financing,96,1,2,Low
Makanaka Mpofu,Health,Pharmacist Assistant,1471,10,4,667,253,Solar Equipment,100,0,2,Low
Gugulethu Khumalo,Public Sector,ZRP Sergeant,977,6,6,939,206,Asset Financing,73,74,5,High
Takudzwa Bhebhe,Retail,Shop Assistant,929,5,5,3976,1124,Small Business,96,1,1,Low
Anesu Dube,Transport,Truck Driver,481,2,1,633,777,Utility Debt,96,0,3,Low
Takudzwa Chikore,Retail,Shop Assistant,988,8,1,1213,1028,Asset Financing,99,0,3,Low
Chengetai Mwenje,Agriculture,Tobacco Smallholder,544,5,0,0,1060,Solar Equipment,99,0,1,Low
Itayi Mpofu,Manufacturing,Line Supervisor,682,5,0,0,1009,Emergency,88,9,3,Medium
Rufaro Mpofu,Health,Pharmacist Assistant,1074,4,1,503,877,Home Improvement,89,28,3,Medium
Blessing Marembo,Manufacturing,Factory Hand,703,8,0,0,486,Solar Equipment,96,0,3,Low
Itayi V. Mpofu,Education,Teacher,850,7,0,0,1128,Utility Debt,88,19,4,Medium
Chengetai Nyathi,Education,Department Head,1154,0,0,0,947,Emergency,97,0,3,Low
Musa Hlongwane,Public Sector,Admin Secretary,580,10,5,2162,598,Utility Debt,79,32,3,High
Chipo Bhebhe,Public Sector,Teacher,733,1,2,1912,988,Medical,77,76,4,High
Rufaro Moyo,Education,Department Head,1242,0,0,0,552,Emergency,98,0,2,Low
Tatenda Mhlanga,Manufacturing,Factory Hand,577,7,3,3743,1123,Small Business,96,0,3,Low
Enock Maphosa,Agriculture,Agro-dealer,986,4,2,1725,933,Medical,98,0,1,Low
Rufaro Dube,Transport,Kombi Driver,600,7,6,3137,574,Medical,88,6,3,Medium
Musa Gumbo,Agriculture,Tobacco Smallholder,273,2,0,0,829,Input Financing,55,50,3,High
Takudzwa Chuma,Transport,Kombi Driver,557,6,1,572,554,Home Improvement,80,79,5,High
Itayi Chidambaram,Transport,Truck Driver,732,6,2,1475,803,Small Business,61,138,3,High
Sizo Chikore,Education,Lecturer,1657,7,0,0,786,Solar Equipment,99,0,2,Low
Tatenda Khumalo,Retail,Shop Assistant,551,3,4,1595,777,Input Financing,83,41,5,High
Tendai Nyathi,Manufacturing,Factory Hand,401,3,2,690,526,Asset Financing,96,0,1,Low
Blessing Khumalo,Retail,Merchandiser,985,5,0,0,1199,Asset Financing,99,0,1,Low
Blessing E. Chuma,Health,Nurse,1437,4,3,1134,417,Emergency,98,0,1,Low
Chengetai Chuma,Retail,Shop Assistant,437,9,5,2740,815,Emergency,93,26,4,Medium
Gugulethu Hlongwane,Health,Pharmacist Assistant,1666,2,2,1237,847,Medical,99,2,2,Low
Anesu Maphosa,Retail,Buyer,998,3,3,765,473,Medical,53,38,4,High
Farai Bhebhe,Transport,Kombi Driver,468,7,4,815,211,Solar Equipment,90,11,3,Medium
Sizo Zhuwao,Education,Teacher,2149,8,4,1053,316,School Fees,100,0,3,Low
Tariro Dube,Health,Pharmacist Assistant,1516,7,2,354,259,Home Improvement,68,86,4,High
Tinashe Sithole,Mining,Underground Supervisor,1872,6,0,0,1095,Small Business,97,0,2,Low
Tariro Chidambaram,Education,Department Head,2010,2,2,1683,798,Small Business,81,132,3,High
Nyasha Ndlovu,Education,Teacher,1163,5,1,700,615,Emergency,53,73,4,High
Dumisani Zhou,Agriculture,Farm Manager,360,0,1,481,627,Emergency,98,0,3,Low
Chengetai Sithole,Agriculture,Tobacco Smallholder,699,9,1,191,343,Utility Debt,96,0,2,Low
Thabo G. Nyathi,Health,Pharmacist Assistant,1257,9,5,2166,444,Small Business,99,0,2,Low
Tariro Mpofu,Retail,Buyer,899,9,6,3950,1112,Medical,94,6,4,Medium
Makanaka Mutasa,Education,Teacher,1918,0,0,0,341,Input Financing,97,4,2,Low
Vimbai Ncube,Transport,Truck Driver,766,0,1,166,304,Home Improvement,94,19,4,Medium
Itayi Phiri,Health,Lab Tech,1184,10,0,0,472,School Fees,67,103,5,High
Takudzwa Chidambaram,Health,Nurse,2087,9,2,1071,833,Input Financing,93,21,2,Medium
Vimbai T. Chuma,Education,Teacher,1950,3,0,0,845,Small Business,99,0,1,Low
Nomsa B. Mpofu,Health,Medical Officer,1028,3,4,4985,1136,Input Financing,100,0,3,Low
Kudakwashe Mpofu,Mining,Underground Supervisor,807,3,4,1043,231,Input Financing,100,0,3,Low
Itayi Bhebhe,Transport,Kombi Driver,642,3,0,0,262,Solar Equipment,97,0,1,Low
Tinashe Bhebhe,Mining,Shift Boss,2041,9,5,2232,563,Input Financing,94,7,4,Medium
Rudo Makoni,Public Sector,ZIMRA Officer,810,4,4,5259,1167,Medical,97,0,2,Low
Tatenda Ndlovu,Public Sector,Teacher,263,9,0,0,691,Asset Financing,79,84,4,High
Rudo Nyathi,Health,Lab Tech,2178,2,3,1594,597,Medical,100,0,3,Low
Blessing Zhuwao,Retail,Buyer,437,2,3,1316,698,Small Business,87,10,4,Medium
Simba Mutambara,Agriculture,Farm Manager,666,9,4,4571,968,Small Business,99,0,3,Low
Dumisani Moyo,Manufacturing,Welder,351,10,0,0,1197,Small Business,60,134,5,High
Takudzwa W. Chuma,Retail,Shop Assistant,487,0,0,0,802,Small Business,97,0,2,Low
Munyaradzi Mwenje,Health,Lab Tech,1232,6,0,0,595,Utility Debt,86,11,4,Medium
Farai Tshuma,Public Sector,Customs Clerk,724,1,0,0,507,School Fees,91,19,3,Medium
Tendai Bhebhe,Mining,Driller,1823,4,5,3153,1140,Small Business,90,17,3,Medium
Vimbai V. Phiri,Agriculture,Tobacco Smallholder,267,10,4,4514,1075,Emergency,94,24,3,Medium
Njabulo Mutasa,Transport,Truck Driver,538,0,0,0,348,Asset Financing,60,96,3,High
Tinashe Chidambaram,Transport,Kombi Driver,983,2,0,0,533,Asset Financing,99,0,3,Low
Vimbai Muzenda,Health,Nurse,1652,8,6,5852,902,Emergency,98,0,1,Low
Tariro E. Madzima,Health,Nurse,1661,4,0,0,1014,School Fees,100,0,3,Low
Rudo Zhuwao,Health,Medical Officer,1790,10,6,3714,818,Emergency,100,0,3,Low
Nomsa Masinga,Agriculture,Farm Manager,730,10,3,3481,1114,Small Business,97,2,1,Low
Nomsa Mhlanga,Retail,Shop Assistant,502,0,1,314,504,Home Improvement,100,0,2,Low
Njabulo Hlongwane,Agriculture,Farm Manager,613,3,2,2359,1161,Emergency,100,0,3,Low
Enock Hlongwane,Public Sector,ZIMRA Officer,353,10,3,1261,815,Medical,94,15,2,Medium
Makanaka J. Mutasa,Mining,Underground Supervisor,832,5,3,1542,436,Solar Equipment,88,25,4,Medium
Njabulo Khumalo,Education,Principal,1966,2,3,1334,696,Utility Debt,98,0,3,Low
Tariro Sithole,Health,Medical Officer,1967,8,1,272,249,Home Improvement,95,24,3,Medium
Dumisani Gumbo,Retail,Merchandiser,513,8,1,600,559,Input Financing,100,3,3,Low
Nyasha W. Ndlovu,Education,Principal,1928,6,1,316,294,Emergency,96,0,1,Low
Tendai Mpofu,Manufacturing,Factory Hand,541,2,3,2004,1111,School Fees,75,113,3,High
Musa Nyathi,Health,Nurse,839,9,2,516,334,Solar Equipment,94,29,4,Medium
Sizo Zuma,Public Sector,Admin Secretary,684,4,0,0,1129,Input Financing,100,0,1,Low
Tendai Muzenda,Transport,Kombi Driver,791,2,2,2180,924,Emergency,89,25,2,Medium
Vimbai Madzima,Manufacturing,Welder,277,5,1,753,1194,Home Improvement,100,0,3,Low
Itayi Zuma,Public Sector,ZIMRA Officer,889,5,2,354,164,Solar Equipment,69,34,5,High
Blessing Gumbo,Mining,Underground Supervisor,907,4,2,1803,987,Utility Debt,73,45,3,High
Tapiwa Dube,Manufacturing,Line Supervisor,749,2,2,220,208,Input Financing,100,4,3,Low
Tapiwa Ndlovu,Manufacturing,Welder,482,3,4,2978,865,Solar Equipment,97,0,2,Low
Nyasha Mwenje,Mining,Driller,1065,4,2,914,394,Input Financing,92,20,3,Medium
Njabulo H. Khumalo,Manufacturing,Line Supervisor,685,9,1,776,1135,Medical,87,5,4,Medium
Takudzwa S. Chuma,Mining,Shift Boss,1170,0,0,0,892,Asset Financing,96,0,2,Low
Tinashe Zhuwao,Retail,Shop Assistant,285,2,0,0,333,Emergency,100,0,3,Low
Chengetai Marembo,Agriculture,Agro-dealer,752,4,4,542,205,Solar Equipment,97,0,1,Low
Chipo Mwenje,Public Sector,Customs Clerk,435,9,6,2881,645,Small Business,96,0,1,Low
Kuda Mutasa,Mining,Driller,2029,9,2,2189,1048,Small Business,96,3,3,Low
Nyasha Moyo,Education,Teacher,1470,9,4,1000,319,Input Financing,93,10,3,Medium
Rudo Madzima,Education,Department Head,965,6,3,1753,813,Utility Debt,94,21,4,Medium
Takudzwa Zhou,Mining,Underground Supervisor,1925,9,4,2023,637,Emergency,97,0,1,Low
Nomsa Zhou,Education,Department Head,1978,1,2,1132,923,Asset Financing,99,0,1,Low
Njabulo Mhlanga,Agriculture,Farm Manager,691,6,6,1841,297,Home Improvement,99,0,2,Low
Thabo D. Sithole,Manufacturing,Welder,271,3,0,0,240,School Fees,95,19,4,Medium
Dumisani A. Mutasa,Retail,Merchandiser,328,6,6,3841,673,Asset Financing,100,0,2,Low
Chengetai Muzenda,Retail,Merchandiser,355,7,2,922,900,Emergency,99,0,1,Low
Farai Mhlanga,Agriculture,Agro-dealer,742,7,0,0,724,Home Improvement,93,16,4,Medium
Simba Zhou,Mining,Driller,2135,2,3,1991,1061,Solar Equipment,81,40,3,High
Farai Zhuwao,Health,Nurse,1091,9,2,1908,1092,Utility Debt,100,0,2,Low
Njabulo Masinga,Health,Lab Tech,1885,0,0,0,536,Asset Financing,97,0,2,Low
Makanaka Makoni,Transport,Kombi Driver,613,2,3,2040,824,Solar Equipment,100,0,3,Low
Blessing C. Zhuwao,Mining,Shift Boss,1161,4,0,0,394,Medical,98,0,1,Low
Tariro Masinga,Transport,Truck Driver,618,9,5,1320,519,Emergency,99,0,1,Low
Simba Marembo,Retail,Shop Assistant,672,9,5,3823,723,Emergency,99,2,1,Low
Tapiwa Sithole,Mining,Underground Supervisor,2068,5,2,2031,1029,Home Improvement,99,0,3,Low
Kuda Chikore,Manufacturing,Welder,742,2,2,1509,1174,Solar Equipment,98,0,3,Low
Munyaradzi Marembo,Agriculture,Farm Manager,802,9,4,1038,356,Utility Debt,99,0,1,Low
Chengetai Khumalo,Public Sector,ZIMRA Officer,682,3,2,801,512,Home Improvement,87,29,2,Medium
Chengetai Zhou,Public Sector,ZIMRA Officer,891,2,0,0,903,Home Improvement,95,25,4,Medium
Blessing H. Zhuwao,Retail,Buyer,498,7,2,1133,940,School Fees,97,0,3,Low
Kuda Mhlanga,Retail,Shop Assistant,947,5,1,438,742,Home Improvement,63,120,5,High
Rufaro Maphosa,Manufacturing,Welder,903,9,0,0,537,Asset Financing,98,0,3,Low
Rufaro Zuma,Mining,Underground Supervisor,1067,6,1,667,788,Input Financing,91,14,2,Medium
Chengetai Mpofu,Agriculture,Agro-dealer,770,8,2,810,564,Home Improvement,85,128,4,High
Rudo Mpofu,Agriculture,Agro-dealer,419,5,0,0,384,Home Improvement,97,0,3,Low
Chipo Masinga,Manufacturing,Welder,669,6,5,778,155,Input Financing,89,26,3,Medium
Musa Madzima,Mining,Shift Boss,1928,6,1,898,1015,Utility Debt,57,145,3,High
Rudo Z. Nyathi,Education,Principal,941,3,1,216,197,Medical,98,0,3,Low
Musa Sithole,Mining,Driller,1198,9,0,0,849,Solar Equipment,99,0,1,Low
Njabulo Mpofu,Transport,Truck Driver,799,4,2,758,526,Input Financing,98,0,3,Low
Simba Maphosa,Agriculture,Agro-dealer,308,1,0,0,567,Emergency,98,0,1,Low
Tendai Moyo,Health,Nurse,1638,9,3,3538,1168,Medical,73,38,5,High
Rudo Chikore,Transport,Kombi Driver,429,8,4,1883,486,Solar Equipment,100,0,1,Low
Tinashe Makoni,Agriculture,Agro-dealer,766,8,3,1113,383,Home Improvement,97,0,1,Low
Makanaka Sibanda,Retail,Buyer,408,6,3,2467,984,Emergency,88,23,2,Medium
Munyaradzi Hlongwane,Mining,Shift Boss,1151,5,2,2124,1050,Medical,91,29,4,Medium
Tatenda Muzenda,Public Sector,ZIMRA Officer,723,10,5,3984,965,Solar Equipment,96,0,3,Low
Tinashe Mutasa,Retail,Merchandiser,996,0,1,987,919,Solar Equipment,97,0,1,Low
Enock Mhlanga,Manufacturing,Welder,658,3,1,687,664,Small Business,98,0,3,Low
Nomsa Moyo,Agriculture,Tobacco Smallholder,799,3,1,415,587,Emergency,99,0,1,Low
Vimbai Sithole,Public Sector,ZRP Sergeant,836,1,1,626,1009,Solar Equipment,93,29,3,Medium
Vimbai J. Ncube,Education,Department Head,1942,6,1,348,300,Input Financing,52,59,3,High
Tendai A. Ndlovu,Public Sector,ZRP Sergeant,985,1,1,1005,870,Solar Equipment,90,8,3,Medium
Musa Zhuwao,Mining,Underground Supervisor,1261,7,5,586,157,Asset Financing,81,88,5,High
Thabo Bhebhe,Public Sector,Teacher,565,10,3,395,152,Asset Financing,86,30,2,Medium
Njabulo Marembo,Transport,Kombi Driver,404,10,1,900,1155,Solar Equipment,97,0,2,Low
Kuda Masinga,Public Sector,ZRP Sergeant,440,7,5,3124,1048,Asset Financing,99,0,1,Low
Gugulethu Chidambaram,Mining,Driller,913,3,2,1292,611,Small Business,66,138,3,High
Chipo Madzima,Manufacturing,Welder,447,1,2,273,160,Medical,91,28,3,Medium
Rudo Hlongwane,Retail,Buyer,395,9,0,0,258,Utility Debt,100,0,2,Low
Blessing Mhlanga,Health,Lab Tech,1754,2,3,1684,921,Utility Debt,97,3,1,Low
Nyasha C. Makoni,Transport,Logistics,919,6,2,1625,845,Input Financing,99,0,2,Low
Nyasha Madzima,Mining,Shift Boss,1811,4,1,860,1106,Solar Equipment,100,0,1,Low
Vimbai Mhlanga,Agriculture,Agro-dealer,513,2,2,1487,678,Asset Financing,57,124,4,High
Njabulo Chidambaram,Education,Principal,1528,2,0,0,389,Utility Debt,97,0,3,Low
Makanaka Moyo,Health,Medical Officer,2061,0,0,0,1041,Home Improvement,91,21,4,Medium
Tinashe Nyathi,Education,Lecturer,1326,6,0,0,936,Asset Financing,98,1,1,Low
Takudzwa Ndlovu,Manufacturing,Factory Hand,276,7,1,400,608,Small Business,88,27,3,Medium
Farai Zuma,Public Sector,ZIMRA Officer,373,7,0,0,189,Emergency,64,119,3,High
Gugulethu N. Chidambaram,Transport,Logistics,530,5,2,1272,881,Small Business,87,22,3,Medium
Nyasha N. Zuma,Transport,Truck Driver,447,3,1,194,251,Asset Financing,61,138,4,High
Thabo Zhuwao,Retail,Merchandiser,318,1,2,1143,649,Home Improvement,73,55,3,High
Chipo T. Madzima,Education,Principal,1387,9,6,1889,388,Utility Debt,87,21,4,Medium
Itayi Mutasa,Mining,Shift Boss,2133,8,6,1210,228,Input Financing,69,141,4,High
Itayi D. Mpofu,Health,Nurse,1739,6,0,0,408,Solar Equipment,92,5,3,Medium
Kudakwashe Chikore,Agriculture,Tobacco Smallholder,490,0,0,0,383,School Fees,96,0,1,Low
Thabo Sibanda,Health,Nurse,1103,2,3,878,352,Solar Equipment,95,21,4,Medium
Anesu O. Dube,Manufacturing,Line Supervisor,405,3,1,392,347,School Fees,98,0,3,Low
Chipo Ndlovu,Agriculture,Tobacco Smallholder,727,5,1,288,402,Emergency,90,9,2,Medium
Tapiwa Zhuwao,Health,Nurse,1276,6,6,6078,1058,Emergency,95,15,3,Medium
Makanaka C. Mpofu,Manufacturing,Welder,572,7,6,1061,331,Input Financing,88,10,3,Medium
Tendai Marembo,Manufacturing,Welder,568,3,1,157,170,Utility Debt,99,2,3,Low
Enock Chikore,Agriculture,Agro-dealer,882,9,5,2890,947,Solar Equipment,93,12,3,Medium
Nomsa C. Mutambara,Education,Teacher,1509,6,1,697,857,Home Improvement,98,0,1,Low
Takudzwa Mwenje,Education,Lecturer,1685,8,3,1139,361,Emergency,79,79,3,High
Takudzwa Maphosa,Public Sector,Teacher,704,0,1,379,569,Home Improvement,99,0,1,Low
Tinashe Masinga,Public Sector,Customs Clerk,257,2,3,1942,968,Home Improvement,96,0,2,Low
Chipo S. Mwenje,Transport,Kombi Driver,738,8,5,2242,391,Utility Debt,96,0,2,Low
Kuda E. Chikore,Transport,Truck Driver,708,1,1,962,1092,Small Business,88,8,3,Medium
Rudo E. Nyathi,Transport,Truck Driver,827,0,0,0,838,Asset Financing,89,22,4,Medium
Tendai Maphosa,Public Sector,ZIMRA Officer,866,0,1,388,328,Emergency,92,13,3,Medium
Farai P. Bhebhe,Health,Pharmacist Assistant,2115,6,1,197,169,Input Financing,94,8,2,Medium
Farai Sithole,Agriculture,Tobacco Smallholder,417,4,5,4438,1197,School Fees,98,0,1,Low
Simba Zuma,Transport,Logistics,665,7,1,681,1137,Small Business,100,0,2,Low
Chipo Chuma,Health,Pharmacist Assistant,2052,8,6,3537,596,Asset Financing,100,0,2,Low
Thabo Y. Nyathi,Agriculture,Tobacco Smallholder,756,7,3,3470,1027,Solar Equipment,100,0,2,Low
Njabulo Nyathi,Agriculture,Farm Manager,710,6,1,832,702,Small Business,100,0,2,Low
Kudakwashe Maphosa,Retail,Merchandiser,872,4,5,817,152,Home Improvement,97,0,3,Low
Munyaradzi Chuma,Agriculture,Farm Manager,568,9,3,663,318,Small Business,53,86,4,High
Itayi Marembo,Health,Medical Officer,1425,9,6,4833,805,School Fees,99,0,1,Low
Njabulo Sibanda,Public Sector,Teacher,774,8,0,0,258,School Fees,89,23,2,Medium
Anesu Zuma,Agriculture,Agro-dealer,705,5,5,4069,890,Solar Equipment,97,0,1,Low
Kudakwashe Sibanda,Mining,Underground Supervisor,2148,8,4,2532,857,Asset Financing,94,8,3,Medium
Munyaradzi Chidambaram,Retail,Merchandiser,797,0,0,0,177,Small Business,97,0,1,Low
Farai C. Tshuma,Public Sector,Teacher,368,3,1,651,1039,School Fees,73,142,3,High
Vimbai V. Ncube,Public Sector,ZIMRA Officer,711,4,2,2037,1193,Medical,83,106,3,High
Panashe Nyathi,Health,Medical Officer,866,2,0,0,617,Home Improvement,100,0,1,Low
Simba D. Marembo,Health,Nurse,1796,7,2,809,447,Medical,67,124,4,High
Sizo Z. Muzenda,Manufacturing,Factory Hand,338,6,2,737,647,Solar Equipment,51,31,3,High
Panashe Muzenda,Education,Principal,1143,0,1,469,423,Solar Equipment,100,0,1,Low
Tariro N. Chuma,Mining,Underground Supervisor,2134,10,6,5465,1059,Utility Debt,99,0,1,Low
Rufaro P. Maphosa,Education,Principal,1845,10,4,2426,1073,School Fees,90,25,3,Medium
Tariro Mwenje,Mining,Shift Boss,2167,5,1,714,1019,Home Improvement,92,14,3,Medium
